门店名称,省份,城市,城市等级,区域,周边1km小区数量,周边中小学数量(500m),周边交通枢纽数量(300m),商业配套数量(500m),商务办公数量(500m),餐饮店数量(500m),Cluster_ID,聚类标签,画像名称
味知香半成品菜,江苏省,盐城市,三线城市,射阳县,53,7,2,32,3,157,3,4,成熟社区型
味知香沿河菜场店,江苏省,盐城市,三线城市,滨海县,46,4,2,29,3,193,3,4,成熟社区型
味知香冷库,江苏省,盐城市,三线城市,滨海县,12,2,1,8,1,13,0,1,商务综合型
味知香(文锦城市场店),江苏省,淮安市,三线城市,淮安区,33,3,0,26,6,151,0,1,商务综合型
味知香(红树小区店),江苏省,淮安市,三线城市,清江浦区,113,6,2,47,0,190,3,4,成熟社区型
味知香,江苏省,淮安市,三线城市,涟水县,55,4,2,27,1,99,0,1,商务综合型
味知香预制菜,江苏省,淮安市,三线城市,盱眙县,27,1,2,15,1,40,0,1,商务综合型
味知香,江苏省,连云港市,三线城市,灌云县,48,7,0,33,10,391,1,2,商业竞争型
味知香,江苏省,连云港市,三线城市,灌南县,25,2,1,15,2,78,0,1,商务综合型
味知香半成品菜(新安南路店),江苏省,连云港市,三线城市,灌南县,39,6,0,36,4,230,3,4,成熟社区型
味知香半成品菜(振兴华府店),江苏省,连云港市,三线城市,灌南县,34,3,1,22,1,53,0,1,商务综合型
味知香半成品店(姚庄农贸市场店),江苏省,徐州市,二线城市,泉山区,24,4,1,15,0,187,0,1,商务综合型
味知香火锅烧烤食材,江苏省,徐州市,二线城市,睢宁县,41,3,1,8,0,50,0,1,商务综合型
味之香大众早点,江苏省,徐州市,二线城市,邳州市,12,3,1,20,3,76,0,1,商务综合型
味知香半成品菜,江苏省,宿迁市,三线城市,宿城区,27,0,5,8,0,32,0,1,商务综合型
味知香广源市场店,江苏省,宿迁市,三线城市,泗阳县,42,4,2,31,4,288,3,4,成熟社区型
味之香馄饨,江苏省,宿迁市,三线城市,沭阳县,53,2,6,28,3,162,3,4,成熟社区型
味知香,江苏省,镇江市,三线城市,丹阳市,98,4,0,55,6,288,1,2,商业竞争型
味知香,浙江省,湖州市,三线城市,吴兴区,11,3,2,22,6,149,0,1,商务综合型
味知香(百家兴市场内),江苏省,镇江市,三线城市,丹阳市,61,2,4,18,6,83,3,4,成熟社区型
味知香(华南店),江苏省,镇江市,三线城市,丹阳市,55,2,2,17,6,193,3,4,成熟社区型
味知香(南门市场店),江苏省,镇江市,三线城市,丹阳市,76,1,2,21,3,131,0,1,商务综合型
